what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517395383704
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517395414974
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517395427924
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517395429340
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517395436761
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517395437767
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517395440088
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517395440779
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517395471687
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517395551545
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517395552152
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517395559507
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517395578703
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517395580490
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517395581313
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517395583272
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517395613821
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517395619447
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517395659913
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1517395665520
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517395685658
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517395687994
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517395706735
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1517395714023
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517395715347
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517395715961
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517395717298
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517395720567
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1517395722167
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517395733988
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517395749655
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517395760290
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517395771682
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517395791842
executed,command,,,"AUTOGEN:::org.eclipse.jst.jsp.core.jspsource.ruler.actions/org.eclipse.ui.texteditor.SelectRulerAction",1517395796502
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517395801431
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1517395825265
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517395826655
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517395846300
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1517395850380
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1517395856374
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1517395858377
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1517395860337
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1517395861717
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1517395863548
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517395864266
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1517395865639
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1517395870583
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1517395872114
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517395878092
